"Source","Target","Type"
"1734421802","706852789792710656","directed"
"1734421802","831814679706087424","directed"
"1734421802","1734421802","directed"
"1734421802","4777269747","directed"
"855935530588090368","24292190","directed"
"88944075","421912290","directed"
"88944075","2776117148","directed"
"88944075","3805444043","directed"
"440025627","831814679706087424","directed"
"440025627","1885807718","directed"
"922844515358126080","501666080","directed"
"730737482153795584","4008445576","directed"
"730737482153795584","831814679706087424","directed"
"3130669605","501666080","directed"
"788050637074403328","501666080","directed"
"4008445576","831814679706087424","directed"
"882933522931089411","533163305","directed"
"1901655595","533163305","directed"
"1901655595","533163305","directed"
"1901655595","858656551749529602","directed"
"1104347432","22467617","directed"
"52349626","2382676952","directed"
"1702037515","2785237306","directed"
"1702037515","733092900","directed"
"966422798","3662791752","directed"
"922452265360863232","826021126853767168","directed"
"372253844","831803612489728000","directed"
"583703759","267898280","directed"
"583703759","21084942","directed"
"17352285","831814679706087424","directed"
"793035919091785728","53151026","directed"
"14332082","53151026","directed"
"2911564642","831814679706087424","directed"
"3816037815","53151026","directed"
"21244243","29176179","directed"
"3369545157","831814679706087424","directed"
"2432161802","831814679706087424","directed"
"963150529089085440","831814679706087424","directed"
"2236525422","2382676952","directed"
"1479697020","490720843","directed"
"267198756","60089271","directed"
"247594540","84055536","directed"
